dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,14.864952,1.865864,15.404336,1.589323,-7.880385,0.192734,5.815704
0.020000,14.890545,1.853015,15.432974,1.431874,-7.872472,0.395651,5.820102
0.020000,14.913366,1.841676,15.458457,1.274131,-7.887140,-0.733395,5.824012
0.020000,14.933403,1.831812,15.480790,1.116657,-7.873727,0.670638,5.827438
0.020000,14.950641,1.823394,15.499973,0.959183,-7.873703,0.001218,5.830379
0.020000,14.965069,1.816397,15.516008,0.801751,-7.871601,0.105087,5.832837
0.020000,14.976677,1.810799,15.528896,0.644363,-7.869396,0.110268,5.834811
0.020000,14.985454,1.806584,15.538632,0.486827,-7.876804,-0.370404,5.836302
0.020000,14.991400,1.803739,15.545224,0.329577,-7.862498,0.715309,5.837312
0.020000,14.994508,1.802254,15.548669,0.172256,-7.866021,-0.176174,5.837839
0.020000,14.995420,1.801819,15.549679,0.050499,-6.087868,88.907648,5.837994
0.020000,14.995487,1.801787,15.549753,0.003715,-2.339180,187.434406,5.838005
0.020000,14.995487,1.801787,15.549753,0.000000,-0.185764,107.670803,5.838005
